system   I             system.c:245  al_install_system                [   0.24711] Allegro version: 5.1.12 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.34100] Also searching K:\Programacion de Graficos I\ProgGraf-I-Clase-22-05\ProyectClass-22-05\bin\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.34122] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.34125] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.34789] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.42670] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.42824] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.42830] al_display=0071F898
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.42833] al_display->vt=00702C18
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.44129] found 288 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.44134] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44138] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44139] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44142] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44144] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44146] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.44148] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44150] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.44152] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44154] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.44156] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44158] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.44159] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44162] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.44163] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44166] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.44167] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44170] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.44171] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44173] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44175] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44177] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44179] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44182] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.44184] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44186] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.44187] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44190] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.44191] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44194] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.44195] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44198] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.44199] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44202] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.44203] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44206] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.44207] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44209] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44211] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
